"skill","avg_salary"
"looker","130250"
"snowflake","123333"
"redshift","120000"
"typescript","108416"
"bigquery","107833"
"spark","107479"
"hadoop","107167"
"aws","105000"
"gcp","105000"
"azure","103671"
