"job_id","job_title","salary_year_avg","skills"
475626,"Principal Data Analyst","160000.0","snowflake"
475626,"Principal Data Analyst","160000.0","power bi"
475626,"Principal Data Analyst","160000.0","looker"
587198,"Data Architect","120000.0","sql"
587198,"Data Architect","120000.0","azure"
587198,"Data Architect","120000.0","aws"
587198,"Data Architect","120000.0","bigquery"
587198,"Data Architect","120000.0","redshift"
587198,"Data Architect","120000.0","snowflake"
587198,"Data Architect","120000.0","gcp"
587198,"Data Architect","120000.0","tableau"
1180796,"Data Analyst, Growth","111175.0","sql"
1180796,"Data Analyst, Growth","111175.0","python"
1180796,"Data Analyst, Growth","111175.0","spark"
1180796,"Data Analyst, Growth","111175.0","hadoop"
205303,"Data Analyst, Risk User Experience","111175.0","sql"
205303,"Data Analyst, Risk User Experience","111175.0","python"
205303,"Data Analyst, Risk User Experience","111175.0","spark"
205303,"Data Analyst, Risk User Experience","111175.0","hadoop"
409209,"Data Analyst (VBA, Tableau)","109000.0","sql"
409209,"Data Analyst (VBA, Tableau)","109000.0","python"
409209,"Data Analyst (VBA, Tableau)","109000.0","vba"
409209,"Data Analyst (VBA, Tableau)","109000.0","excel"
409209,"Data Analyst (VBA, Tableau)","109000.0","tableau"
629221,"Analytics Engineering Lead","108415.5","python"
629221,"Analytics Engineering Lead","108415.5","typescript"
629221,"Analytics Engineering Lead","108415.5","spark"
1591043,"Data Analyst, End to End Banking Operations","105000.0","sql"
1591043,"Data Analyst, End to End Banking Operations","105000.0","python"
1591043,"Data Analyst, End to End Banking Operations","105000.0","javascript"
1591043,"Data Analyst, End to End Banking Operations","105000.0","bigquery"
1591043,"Data Analyst, End to End Banking Operations","105000.0","tableau"
1591043,"Data Analyst, End to End Banking Operations","105000.0","sheets"
1232872,"Analytics Lab Architect","101014.0","azure"
1232872,"Analytics Lab Architect","101014.0","databricks"
452146,"Data Analyst","100500.0","sql"
452146,"Data Analyst","100500.0","python"
452146,"Data Analyst","100500.0","tableau"
452146,"Data Analyst","100500.0","looker"
452146,"Data Analyst","100500.0","sheets"
452146,"Data Analyst","100500.0","visio"
452146,"Data Analyst","100500.0","jira"
